Name,Website,Country,Spider,Source,Count,Type,All the places Most Recent Link
Agnvet,agnvet.com.au,au,agnvet_au,https://alltheplaces.xyz/spiders.html?page_length=-1&num_runs=1,69,,https://alltheplaces-data.openaddresses.io/runs/2026-07-18-13-32-19/output/agnvet_au.geojson
Loves Alternative Energy,lovesalternativeenergy.com,,loves_alternative_energy,https://alltheplaces.xyz/spiders.html?page_length=-1&num_runs=1,74,,https://alltheplaces-data.openaddresses.io/runs/2026-07-18-13-32-19/output/loves_alternative_energy.geojson
Bubbas33,bubbas33.com,us,bubbas33_us,https://alltheplaces.xyz/spiders.html?page_length=-1&num_runs=1,67,,https://alltheplaces-data.openaddresses.io/runs/2026-07-18-13-32-19/output/bubbas33_us.geojson
Castle Fine Art,castlefineart.co.uk,gb,castle_fine_art_gb,https://alltheplaces.xyz/spiders.html?page_length=-1&num_runs=1,37,,https://alltheplaces-data.openaddresses.io/runs/2026-07-18-13-32-19/output/castle_fine_art_gb.geojson
Coin Flip,locations.coinflip.tech,us,coin_flip_us,https://alltheplaces.xyz/spiders.html?page_length=-1&num_runs=1,10,,https://alltheplaces-data.openaddresses.io/runs/2026-07-18-13-32-19/output/coin_flip_us.geojson
Coinflip,locations.coinflip.tech,,coinflip,https://alltheplaces.xyz/spiders.html?page_length=-1&num_runs=1,174,,https://alltheplaces-data.openaddresses.io/runs/2026-07-18-13-32-19/output/coinflip.geojson
Crash Champions,crashchampions.com,us,crash_champions_us,https://alltheplaces.xyz/spiders.html?page_length=-1&num_runs=1,660,,https://alltheplaces-data.openaddresses.io/runs/2026-07-18-13-32-19/output/crash_champions_us.geojson
Procolor Collision,procolor.com,us,procolor_collision_us,https://alltheplaces.xyz/spiders.html?page_length=-1&num_runs=1,50,Franchise,https://alltheplaces-data.openaddresses.io/runs/2026-07-18-13-32-19/output/procolor_collision_us.geojson
Beev,beev.co.uk,gb,beev_gb,https://alltheplaces.xyz/spiders.html?page_length=-1&num_runs=1,,,https://alltheplaces-data.openaddresses.io/runs/2026-07-18-13-32-19/output/beev_gb.geojson
Novus,novusglass.com,ua,novus_ua,https://alltheplaces.xyz/spiders.html?page_length=-1&num_runs=1,97,Franchise,https://alltheplaces-data.openaddresses.io/runs/2026-07-18-13-32-19/output/novus_ua.geojson
Gsf Car Parts,gsfcarparts.co.uk,gb,gsf_car_parts_gb,https://alltheplaces.xyz/spiders.html?page_length=-1&num_runs=1,,,https://alltheplaces-data.openaddresses.io/runs/2026-07-18-13-32-19/output/gsf_car_parts_gb.geojson
German American,germanamerican.com,us,german_american_us,https://alltheplaces.xyz/spiders.html?page_length=-1&num_runs=1,82,,https://alltheplaces-data.openaddresses.io/runs/2026-07-18-13-32-19/output/german_american_us.geojson
St Bank,stbank.com,us,st_bank_us,https://alltheplaces.xyz/spiders.html?page_length=-1&num_runs=1,74,,https://alltheplaces-data.openaddresses.io/runs/2026-07-18-13-32-19/output/st_bank_us.geojson
Boom Battle Bar,boombattlebar.com,,boom_battle_bar,https://alltheplaces.xyz/spiders.html?page_length=-1&num_runs=1,25,,https://alltheplaces-data.openaddresses.io/runs/2026-07-18-13-32-19/output/boom_battle_bar.geojson
Jim N Nicks,jimnnicks.com,,jim_n_nicks,https://alltheplaces.xyz/spiders.html?page_length=-1&num_runs=1,63,,https://alltheplaces-data.openaddresses.io/runs/2026-07-18-13-32-19/output/jim_n_nicks.geojson
Clapton Craft,claptoncraft.co.uk,gb,clapton_craft_gb,https://alltheplaces.xyz/spiders.html?page_length=-1&num_runs=1,8,,https://alltheplaces-data.openaddresses.io/runs/2026-07-18-13-32-19/output/clapton_craft_gb.geojson
Manning Cartell,manningcartell.com.au,au,manning_cartell_au,https://alltheplaces.xyz/spiders.html?page_length=-1&num_runs=1,6,,https://alltheplaces-data.openaddresses.io/runs/2026-07-18-13-32-19/output/manning_cartell_au.geojson
Minor Hotels,minorhotels.com,,minor_hotels,https://alltheplaces.xyz/spiders.html?page_length=-1&num_runs=1,,,https://alltheplaces-data.openaddresses.io/runs/2026-07-18-13-32-19/output/minor_hotels.geojson
