sitemap_type,domain,sitemap_url,bio_count,bio_page_keyword,site path
people,001ltd.co.uk,https://001ltd.co.uk/team-sitemap.xml,2,/team/,team-sitemap.xml
people,0049vip.com,https://www.0049vip.com/wp-sitemap-posts-team-1.xml,5,/team/,wp-sitemap-posts-team-1.xml
people,007delmarketing.com,http://007delmarketing.com/team-sitemap.xml,15,,team-sitemap.xml
people,011fm.com,https://011fm.com/wp-sitemap-posts-cpt_team-1.xml,6,/team/,wp-sitemap-posts-cpt_team-1.xml
people,05music.com,https://www.05music.com/dynamic-team-sitemap.xml,5,/team/,dynamic-team-sitemap.xml
people,0711.net,https://www.0711.net/team-sitemap.xml,18,/agentur/team/,team-sitemap.xml
people,0percent.com,https://0percent.com/expert-sitemap.xml,11,,expert-sitemap.xml
people,1000dunes.com,https://www.1000dunes.com/wp-sitemap-posts-cpt_team-1.xml,3,/team/,wp-sitemap-posts-cpt_team-1.xml
people,1000islandsbrewery.ca,https://1000islandsbrewery.ca/wp-sitemap-posts-team-1.xml,2,/team/,wp-sitemap-posts-team-1.xml
people,1000oaksdentists.com,https://www.1000oaksdentists.com/ourteam-sitemap.xml,5,/ourteam/,ourteam-sitemap.xml
people,1000ps.biz,https://1000ps.biz/wp-sitemap-posts-team-1.xml,2,/team/,wp-sitemap-posts-team-1.xml
people,100bares.com,https://100bares.com/wp-sitemap-posts-team-1.xml,4,/team/,wp-sitemap-posts-team-1.xml
people,100blackmendc.org,https://100blackmendc.org/team-sitemap.xml,12,/team/,team-sitemap.xml
people,100consultant.com,https://100consultant.com/gva_team-sitemap.xml,7,/team/,gva_team-sitemap.xml
people,100degreeseast.com,https://www.100degreeseast.com/team-sitemap.xml,15,/team/,team-sitemap.xml
people,100gardens.org,https://www.100gardens.org/team-sitemap1.xml,12,/team/,team-sitemap1.xml
people,100percentiowa.com,https://100percentiowa.com/dt_team-sitemap.xml,4,/dt_team/,dt_team-sitemap.xml
people,100whogive.com,https://100whogive.com/wp-sitemap-posts-team-1.xml,73,/team/,wp-sitemap-posts-team-1.xml
people,1010coding.com,https://1010coding.com/our_team-sitemap.xml,,/our_team/,our_team-sitemap.xml
people,1011vc.com,https://www.1011vc.com/team_member-sitemap.xml,12,,team_member-sitemap.xml
people,1016w.com,https://www.1016w.com/wp-sitemap-posts-cpt_team-1.xml,10,/team/,wp-sitemap-posts-cpt_team-1.xml
people,101india.com,https://101india.com/post-sitemap.xml,15,/people/,post-sitemap.xml
people,101lax.com,https://101lax.com/staff-sitemap.xml,3,/staff/,staff-sitemap.xml
people,101mobility.com,https://www.101mobility.com/people-sitemap.xml,328,/about/meet-the-team/,people-sitemap.xml
people,101tampons.net,https://101tampons.net/post-sitemap.xml,5,/management/,post-sitemap.xml
people,1027tm.com,https://www.1027tm.com/member-profile-sitemap.xml,4,/profile/tparker/,member-profile-sitemap.xml
people,1031ex.com,https://1031ex.com/our-team-sitemap.xml,5,/our-team/,our-team-sitemap.xml
people,106architects.com,https://www.106architects.com/team-sitemap.xml,5,/team/,team-sitemap.xml
people,1080architecture.com,https://1080architecture.com/team-sitemap.xml,16,/team-member/,team-sitemap.xml
people,1080fitness.com,https://www.1080fitness.com/wp-sitemap-posts-dt_team-1.xml,6,/dt_team/,wp-sitemap-posts-dt_team-1.xml
people,108harleystreet.co.uk,https://108harleystreet.co.uk/post-sitemap.xml,7,/team/breast-team/consultants-surgeons/,post-sitemap.xml
people,10audio.com,https://10audio.com/wp-sitemap-posts-team-1.xml,8,/team/,wp-sitemap-posts-team-1.xml
people,10kbw.co.uk,https://10kbw.co.uk/wp-sitemap-posts-staff-1.xml,3,/staff/,wp-sitemap-posts-staff-1.xml
people,10minutesphonerepair.com,https://10minutesphonerepair.com/wp-sitemap-posts-cea-team-1.xml,3,/team/,wp-sitemap-posts-cea-team-1.xml
people,10rd.com,https://10rd.com/wp-sitemap-posts-houzez_agent-1.xml,3,/agent/,wp-sitemap-posts-houzez_agent-1.xml
people,10thdomegas.org,https://www.10thdomegas.org/member-profile-sitemap.xml,2,/profile/mithomps/,member-profile-sitemap.xml
people,10torr.com,https://10torr.com/team-members-sitemap1.xml,3,/team-members/,team-members-sitemap1.xml
people,10viacomcbs.com.au,https://www.paramountanz.com.au/team-sitemap.xml,7,/team/,team-sitemap.xml
people,10xgenomics.com,https://www.10xgenomics.com/sitemap-en.xml,7,/company/team/,sitemap-en.xml
people,10xgrowthcon.com,https://10xgrowthcon.com/team-sitemap.xml,49,/team/,team-sitemap.xml
people,10xoptima.com,https://www.10xoptima.com/team-sitemap.xml,4,/team/,team-sitemap.xml
people,10xpsychology.com,https://10xpsychology.com/team-sitemap.xml,20,/team/,team-sitemap.xml
people,10xrealtymortgage.com,https://www.10xrealtymortgage.com/agent-sitemap.xml,14,/agent/,agent-sitemap.xml
people,1100architect.com,https://www.1100architect.com/team-sitemap.xml,8,/team/,team-sitemap.xml
people,1108lavaca.com,https://www.d2000.com/team-sitemap.xml,11,/team/,team-sitemap.xml
people,110west40.com,https://110west40.com/wp-sitemap-posts-employees-1.xml,3,/team/,wp-sitemap-posts-employees-1.xml
people,1111tarot.com,https://www.1111tarot.com/dynamic-team-sitemap.xml,2,/team/,dynamic-team-sitemap.xml
people,111miligramas.com,https://111miligramas.com/post-sitemap.xml,4,/people/,post-sitemap.xml
people,1122marketing.com,https://www.1122marketing.com/member-profile-sitemap.xml,2,,member-profile-sitemap.xml
people,114ehkreeffish.org,https://www.114ehkreeffish.org/team-sitemap.xml,5,/team/,team-sitemap.xml
people,1166fcu.org,https://1166fcu.org/our_team-sitemap.xml,2,/our_team/,our_team-sitemap.xml
people,11by5.com,https://11by5.com/wp-sitemap-posts-cpt_team-1.xml,3,/team/,wp-sitemap-posts-cpt_team-1.xml
people,11kbw.com,https://www.11kbw.com/barrister-sitemap.xml,,,barrister-sitemap.xml
people,11kbw.com,https://www.11kbw.com/directory-sitemap.xml,,,directory-sitemap.xml
people,11kconsulting.com,https://www.11kconsulting.com/member-profile-sitemap.xml,4,/profile/72c1eac6-b5ef-41bd-b7a7-faf6653c34ce/,member-profile-sitemap.xml
people,11kettlefarm.com,https://11kettlefarm.com/cpt_team-sitemap.xml,3,/team/,cpt_team-sitemap.xml
people,11newsquare.com,https://www.11newsquare.com/person-sitemap.xml,13,/person/,person-sitemap.xml
people,11plusmocktest.com,https://mocktestmasters.co.uk/wp-sitemap-posts-staff-1.xml,6,/team/,wp-sitemap-posts-staff-1.xml
people,11supplier.com,https://11supplier.com/ourteam-sitemap.xml,,/ourteam/,ourteam-sitemap.xml
people,11thamec.org,https://www.11thamec.org/dynamic-team-sitemap.xml,5,/team/,dynamic-team-sitemap.xml
people,11thhourracingteam.org,https://www.11thhourracingteam.org/team_bio-sitemap.xml,36,/team_bio/,team_bio-sitemap.xml
people,11tm.com,https://11tm.com/wp-sitemap-posts-cpt_team-1.xml,5,/team/,wp-sitemap-posts-cpt_team-1.xml
people,1201am.com,https://1201am.com/wp-sitemap-posts-personnel-1.xml,5,/personnel/,wp-sitemap-posts-personnel-1.xml
people,121brand.com,https://121brand.com/team-sitemap.xml,4,/team/,team-sitemap.xml
people,121creative.com.au,https://www.121creative.com.au/people-sitemap.xml,24,/blog-ideas-that-inspire/people/,people-sitemap.xml
people,121deltaconsulting.com,https://121deltaconsulting.com/zozo_team_member-sitemap.xml,5,/team/,zozo_team_member-sitemap.xml
people,121eyecare.com,https://121eyecare.com/wp-sitemap-posts-stm_staff-1.xml,5,/staff/,wp-sitemap-posts-stm_staff-1.xml
people,121media.com,https://121media.com/wp-sitemap-posts-team-1.xml,,/team/,wp-sitemap-posts-team-1.xml
people,121truckrepair.com,https://trianglejinc.com/wp-sitemap-posts-team-1.xml,3,/team/,wp-sitemap-posts-team-1.xml
people,123-controles.net,https://123-controles.fr/wp-sitemap-posts-houzez_agent-1.xml,3,/agent/,wp-sitemap-posts-houzez_agent-1.xml
people,123homeloan.com,https://www.123homeloan.com/staff-sitemap.xml,13,*,staff-sitemap.xml
people,123marketrealty.com,https://123marketrealty.com/agent-sitemap.xml,2,/agent/,agent-sitemap.xml
people,123media.ca,https://123media.ca/oxy_staff-sitemap.xml,17,/our-team/,oxy_staff-sitemap.xml
people,123ply.com,https://www.123ply.com/team-sitemap.xml,6,/team/,team-sitemap.xml
people,126gallery.com,https://126gallery.com/team-sitemap.xml,8,/team/,team-sitemap.xml
people,1280fp.com,https://1280fp.com/team-sitemap.xml,15,/team/,team-sitemap.xml
people,128productions.com,https://128productions.com/wp-sitemap-posts-post-1.xml,7,/team/,wp-sitemap-posts-post-1.xml
people,12-clans.com,https://www.12-clans.com/team-member-sitemap.xml,7,/team-member/,team-member-sitemap.xml
