Source,Category or Key Word,NAICS 6 Code,NAICS 6 Title
Google Maps,main customs office,928120,International Affairs 
Google Maps,customs office,928120,International Affairs 
Google Maps,customs department,928120,International Affairs 
Google Maps,coast guard station,928120,International Affairs 
Google Maps,embassy,928120,International Affairs 
Google Maps,foreign consulate,928120,International Affairs 
Overture,passport and visa services,928120,International Affairs 
Overture,visa agent,928120,International Affairs 
Google Maps,National Security,928110,National Security 
Google Maps,Military and International Affairs,928110,National Security 
Google Maps,International Affairs,928110,National Security 
Google Maps,Armed Forces,928110,National Security 
Google Maps,Military training school ,928110,National Security 
Google Maps,Air Force,928110,National Security 
Google Maps,National Guard,928110,National Security 
Google Maps,Military training schools ,928110,National Security 
Google Maps,Military police,928110,National Security 
Google Maps,Military courts,928110,National Security 
Google Maps,Marine Corps,928110,National Security 
Google Maps,Army,928110,National Security 
Google Maps,military,928110,National Security 
Google Maps,marine self defense force,928110,National Security 
Google Maps,military board,928110,National Security 
Google Maps,military town,928110,National Security 
Google Maps,marines facility,928110,National Security 
Google Maps,naval base,928110,National Security 
Google Maps,air force base,928110,National Security 
Google Maps,military residence,928110,National Security 
Google Maps,army facility,928110,National Security 
Google Maps,military base,928110,National Security 
Google Maps,military recruiting office,928110,National Security 
Overture,armed forces branch,928110,National Security 
Overture,national security services,928110,National Security 
Google Maps,Space Research and Technology,927110,Space Research and Technology 
Google Maps,Space Research,927110,Space Research and Technology 
Google Maps,"Banking regulatory agency, public administration",926150,"Regulation, Licensing, and Inspection of Miscellaneous Commercial Sectors "
Google Maps,"Alcoholic beverage control boards, public administration",926150,"Regulation, Licensing, and Inspection of Miscellaneous Commercial Sectors "
Google Maps,"Licensing and permit issuance for professional occupations, government",926150,"Regulation, Licensing, and Inspection of Miscellaneous Commercial Sectors "
Google Maps,"Licensing and permit issuance for business operations, government",926150,"Regulation, Licensing, and Inspection of Miscellaneous Commercial Sectors "
Google Maps,"Labor management negotiations boards, government",926150,"Regulation, Licensing, and Inspection of Miscellaneous Commercial Sectors "
Google Maps,"Insurance commissions, government",926150,"Regulation, Licensing, and Inspection of Miscellaneous Commercial Sectors "
Google Maps,"Building inspections, government",926150,"Regulation, Licensing, and Inspection of Miscellaneous Commercial Sectors "
Google Maps,"Banking regulatory agencies, public administration",926150,"Regulation, Licensing, and Inspection of Miscellaneous Commercial Sectors "
Google Maps,sanitary inspection,926150,"Regulation, Licensing, and Inspection of Miscellaneous Commercial Sectors "
Overture,automobile registration service,926150,"Regulation, Licensing, and Inspection of Miscellaneous Commercial Sectors "
Overture,car inspection,926150,"Regulation, Licensing, and Inspection of Miscellaneous Commercial Sectors "
Overture,emissions inspection,926150,"Regulation, Licensing, and Inspection of Miscellaneous Commercial Sectors "
Google Maps,Utilities Administration,926130,"Regulation and Administration of Communications, Electric, Gas, and Other Utilities "
Overture,public utility company,926130,"Regulation and Administration of Communications, Electric, Gas, and Other Utilities "
Google Maps,Transportation Programs,926120,Regulation and Administration of Transportation Programs 
Google Maps,city department of transportation,926120,Regulation and Administration of Transportation Programs 
Google Maps,port authority,926120,Regulation and Administration of Transportation Programs 
Google Maps,transportation infrastructure,926120,Regulation and Administration of Transportation Programs 
Google Maps,state department of transportation,926120,Regulation and Administration of Transportation Programs 
Google Maps,department of transportation,926120,Regulation and Administration of Transportation Programs 
Overture,railway service,926120,Regulation and Administration of Transportation Programs 
Overture,public transportation,926120,Regulation and Administration of Transportation Programs 
LinkedIn,Logistics And Supply Chain,926120,Regulation and Administration of Transportation Programs 
Google Maps,Economic Programs,926110,Administration of General Economic Programs 
Google Maps,"Small business development agency, public administration",926110,Administration of General Economic Programs 
Google Maps,"General economics statistical agency, public administration",926110,Administration of General Economic Programs 
Google Maps,"Economic development agency, government",926110,Administration of General Economic Programs 
Google Maps,"Consumer protection offices, public administration",926110,Administration of General Economic Programs 
Google Maps,"Trade commissions, government",926110,Administration of General Economic Programs 
Google Maps,"Small business development agencies, public administration",926110,Administration of General Economic Programs 
Google Maps,"General economics statistical agencies, public administration",926110,Administration of General Economic Programs 
Google Maps,"Economic development agencies, government",926110,Administration of General Economic Programs 
Google Maps,municipal department of tourism,926110,Administration of General Economic Programs 
Google Maps,government economic program,926110,Administration of General Economic Programs 
Google Maps,economic development agency,926110,Administration of General Economic Programs 
Overture,department of social service,926110,Administration of General Economic Programs 
Google Maps,Urban Planning,925120,Administration of Urban Planning and Community and Rural Development
Google Maps,Housing and Community Development,925120,Administration of Urban Planning and Community and Rural Development
Google Maps,Community Development and Urban Planning,925120,Administration of Urban Planning and Community and Rural Development
Google Maps,Community Development,925120,Administration of Urban Planning and Community and Rural Development
Non Business,housing,925120,Administration of Urban Planning and Community and Rural Development
Google Maps,land planning authority,925120,Administration of Urban Planning and Community and Rural Development
Google Maps,immigration & naturalization service,925120,Administration of Urban Planning and Community and Rural Development
Google Maps,urban planning department,925120,Administration of Urban Planning and Community and Rural Development
Google Maps,Housing Programs,925110,Administration of Housing Programs 
Google Maps,department of housing,925110,Administration of Housing Programs 
Google Maps,state department housing and urban development,925110,Administration of Housing Programs 
Google Maps,municipal department housing and urban development,925110,Administration of Housing Programs 
Google Maps,housing authority,925110,Administration of Housing Programs 
Overture,housing authorities,925110,Administration of Housing Programs 
Overture,low income housing,925110,Administration of Housing Programs 
Google Maps,Conservation Programs,924120,Administration of Conservation Programs 
Google Maps,environment office,924120,Administration of Conservation Programs 
Google Maps,superfund site,924120,Administration of Conservation Programs 
Non Business,national forest,924120,Administration of Conservation Programs 
Google Maps,animal control service,924120,Administration of Conservation Programs 
Google Maps,conservation department,924120,Administration of Conservation Programs 
Non Business,waters,924110,Administration of Air and Water Resource and Solid Waste Management Programs 
Google Maps,Water Treatment,924110,Administration of Air and Water Resource and Solid Waste Management Programs 
Google Maps,Waste Program Management,924110,Administration of Air and Water Resource and Solid Waste Management Programs 
Google Maps,Environmental Quality Programs,924110,Administration of Air and Water Resource and Solid Waste Management Programs 
Google Maps,"Air, Water, and Waste Program Management",924110,Administration of Air and Water Resource and Solid Waste Management Programs 
Non Business,Air,924110,Administration of Air and Water Resource and Solid Waste Management Programs 
Google Maps,"Environmental protection program administration, public administration",924110,Administration of Air and Water Resource and Solid Waste Management Programs 
Google Maps,"Water control and quality program administration, public administration",924110,Administration of Air and Water Resource and Solid Waste Management Programs 
Google Maps,"Pollution control program administration, public administration",924110,Administration of Air and Water Resource and Solid Waste Management Programs 
Google Maps,"Waste management program administration, public administration",924110,Administration of Air and Water Resource and Solid Waste Management Programs 
Non Business,water,924110,Administration of Air and Water Resource and Solid Waste Management Programs 
Google Maps,veterans affairs department,923140,Administration of Veterans' Affairs 
Google Maps,social workers,923130,"Administration of Human Resource Programs (except Education, Public Health, and Veterans' Affairs Programs) "
Google Maps,Public Assistance Programs,923130,"Administration of Human Resource Programs (except Education, Public Health, and Veterans' Affairs Programs) "
Google Maps,Human Services,923130,"Administration of Human Resource Programs (except Education, Public Health, and Veterans' Affairs Programs) "
Google Maps,Health Services,923130,"Administration of Human Resource Programs (except Education, Public Health, and Veterans' Affairs Programs) "
Google Maps,Health and Human Services,923130,"Administration of Human Resource Programs (except Education, Public Health, and Veterans' Affairs Programs) "
Google Maps,state employment department,923130,"Administration of Human Resource Programs (except Education, Public Health, and Veterans' Affairs Programs) "
Google Maps,unemployment office,923130,"Administration of Human Resource Programs (except Education, Public Health, and Veterans' Affairs Programs) "
Google Maps,department of social services,923130,"Administration of Human Resource Programs (except Education, Public Health, and Veterans' Affairs Programs) "
Overture,social security services,923130,"Administration of Human Resource Programs (except Education, Public Health, and Veterans' Affairs Programs) "
Google Maps,Public Health,923120,Administration of Public Health Programs 
Google Maps,"Communicable disease program administration, public administration",923120,Administration of Public Health Programs 
Google Maps,"Public health program administration, nonoperating, public administration",923120,Administration of Public Health Programs 
Google Maps,"Mental health program administration, public administration",923120,Administration of Public Health Programs 
Google Maps,"Health program administration, public administration",923120,Administration of Public Health Programs 
Google Maps,"Coroners' offices, public administration",923120,Administration of Public Health Programs 
Google Maps,state archive,923120,Administration of Public Health Programs 
Google Maps,military archive,923120,Administration of Public Health Programs 
Google Maps,medical examiner,923120,Administration of Public Health Programs 
Google Maps,public health department,923120,Administration of Public Health Programs 
Overture,community health center,923120,Administration of Public Health Programs 
Overture,health department,923120,Administration of Public Health Programs 
Overture,public health clinic,923120,Administration of Public Health Programs 
Google Maps,Education Administration Programs,923110,Administration of Education Programs 
Google Maps,"Education offices, nonoperating, public administration",923110,Administration of Education Programs 
Google Maps,"University regents or boards, government",923110,Administration of Education Programs 
Google Maps,State education departments,923110,Administration of Education Programs 
Google Maps,"Education statistics centers, government",923110,Administration of Education Programs 
LinkedIn,Program Development,923110,Administration of Education Programs 
Google Maps,court executive officers,922190,"Other Justice, Public Order, and Safety Activities "
Google Maps,Public Safety,922190,"Other Justice, Public Order, and Safety Activities "
Google Maps,"Consumer product safety commissions, public administration",922190,"Other Justice, Public Order, and Safety Activities "
Google Maps,"Public safety bureaus and statistics centers, government",922190,"Other Justice, Public Order, and Safety Activities "
Google Maps,"Emergency planning and management offices, government",922190,"Other Justice, Public Order, and Safety Activities "
Google Maps,"Disaster preparedness and management offices, government",922190,"Other Justice, Public Order, and Safety Activities "
Google Maps,emergency services,922190,"Other Justice, Public Order, and Safety Activities "
Google Maps,emergency management ministry,922190,"Other Justice, Public Order, and Safety Activities "
Google Maps,emergency call booth,922190,"Other Justice, Public Order, and Safety Activities "
Google Maps,department of public safety,922190,"Other Justice, Public Order, and Safety Activities "
Google Maps,public safety office,922190,"Other Justice, Public Order, and Safety Activities "
Overture,child protection service,922190,"Other Justice, Public Order, and Safety Activities "
Overture,immigration and naturalization,922190,"Other Justice, Public Order, and Safety Activities "
Google Maps,Fire Protection,922160,Fire Protection 
Google Maps,Fire,922160,Fire Protection 
Google Maps,rescue squad,922160,Fire Protection 
Google Maps,fire station,922160,Fire Protection 
Overture,Voluntary fire brigade,922160,Fire Protection 
Overture,fire department,922160,Fire Protection 
Google Maps,Probation,922150,Parole Offices and Probation Offices 
Google Maps,"Parole, Probation",922150,Parole Offices and Probation Offices 
Google Maps,Parole,922150,Parole Offices and Probation Offices 
Google Maps,probation office,922150,Parole Offices and Probation Offices 
Google Maps,Corrections Facility,922140,Correctional Institutions 
Google Maps,Correctional IInstitutions,922140,Correctional Institutions 
Google Maps,Correctional Institute,922140,Correctional Institutions 
Google Maps,Prisons,922140,Correctional Institutions 
Google Maps,Penitentiary,922140,Correctional Institutions 
Google Maps,Jail,922140,Correctional Institutions 
Google Maps,detention center,922140,Correctional Institutions 
Google Maps,juvenile detention center,922140,Correctional Institutions 
Google Maps,prison,922140,Correctional Institutions 
Overture,jail and prison,922140,Correctional Institutions 
LinkedIn,Correctional Institutions,922140,Correctional Institutions 
