Lambda concurrency limit 10 -> driving at 8 concurrent (raise the quota to go faster)
  200 ptrs | 0 records | 8696 ptr/s | 1 inv-err
  10,200 ptrs | 0 records | 71329 ptr/s | 51 inv-err
  20,200 ptrs | 0 records | 81781 ptr/s | 101 inv-err
  30,200 ptrs | 0 records | 87536 ptr/s | 151 inv-err
  40,200 ptrs | 0 records | 90337 ptr/s | 201 inv-err
  50,200 ptrs | 0 records | 91606 ptr/s | 251 inv-err
  60,200 ptrs | 0 records | 93916 ptr/s | 301 inv-err
  70,200 ptrs | 0 records | 94865 ptr/s | 351 inv-err
  80,200 ptrs | 0 records | 96394 ptr/s | 401 inv-err
  90,200 ptrs | 0 records | 97725 ptr/s | 451 inv-err
  100,200 ptrs | 0 records | 97852 ptr/s | 501 inv-err
  110,200 ptrs | 0 records | 98305 ptr/s | 551 inv-err
  120,200 ptrs | 0 records | 99093 ptr/s | 601 inv-err
  130,200 ptrs | 0 records | 99541 ptr/s | 651 inv-err
  140,200 ptrs | 0 records | 100286 ptr/s | 701 inv-err
  150,200 ptrs | 0 records | 101213 ptr/s | 751 inv-err
  160,200 ptrs | 0 records | 101650 ptr/s | 801 inv-err
  170,200 ptrs | 0 records | 102468 ptr/s | 851 inv-err
  180,200 ptrs | 0 records | 102971 ptr/s | 901 inv-err
  190,200 ptrs | 0 records | 103201 ptr/s | 951 inv-err
  200,200 ptrs | 0 records | 103623 ptr/s | 1001 inv-err
  210,200 ptrs | 0 records | 103802 ptr/s | 1051 inv-err
  220,200 ptrs | 0 records | 104163 ptr/s | 1101 inv-err
  230,200 ptrs | 0 records | 104163 ptr/s | 1151 inv-err
  240,200 ptrs | 0 records | 104253 ptr/s | 1201 inv-err
  250,200 ptrs | 0 records | 104686 ptr/s | 1251 inv-err
  260,200 ptrs | 0 records | 104919 ptr/s | 1301 inv-err
  270,200 ptrs | 0 records | 104973 ptr/s | 1351 inv-err
  280,200 ptrs | 0 records | 105497 ptr/s | 1401 inv-err
  290,200 ptrs | 0 records | 105527 ptr/s | 1451 inv-err
  300,200 ptrs | 0 records | 105704 ptr/s | 1501 inv-err
  310,200 ptrs | 0 records | 106015 ptr/s | 1551 inv-err
  320,200 ptrs | 0 records | 106202 ptr/s | 1601 inv-err
  330,200 ptrs | 0 records | 106413 ptr/s | 1651 inv-err
  340,200 ptrs | 0 records | 106679 ptr/s | 1701 inv-err
  350,200 ptrs | 0 records | 106638 ptr/s | 1751 inv-err
  360,200 ptrs | 0 records | 106726 ptr/s | 1801 inv-err
  370,200 ptrs | 0 records | 107087 ptr/s | 1851 inv-err
  380,200 ptrs | 0 records | 107038 ptr/s | 1901 inv-err
  390,200 ptrs | 0 records | 107198 ptr/s | 1951 inv-err
  400,200 ptrs | 0 records | 107263 ptr/s | 2001 inv-err
  410,200 ptrs | 0 records | 107608 ptr/s | 2051 inv-err
  420,200 ptrs | 0 records | 107771 ptr/s | 2101 inv-err
  430,200 ptrs | 0 records | 107901 ptr/s | 2151 inv-err
  440,200 ptrs | 0 records | 108157 ptr/s | 2201 inv-err
  450,200 ptrs | 0 records | 108091 ptr/s | 2251 inv-err
  460,200 ptrs | 0 records | 108308 ptr/s | 2301 inv-err
  470,200 ptrs | 0 records | 108491 ptr/s | 2351 inv-err
  480,200 ptrs | 0 records | 108471 ptr/s | 2401 inv-err
  490,200 ptrs | 0 records | 108764 ptr/s | 2451 inv-err
  500,200 ptrs | 0 records | 108668 ptr/s | 2501 inv-err
  510,200 ptrs | 0 records | 108901 ptr/s | 2551 inv-err
  520,200 ptrs | 0 records | 108692 ptr/s | 2601 inv-err
  530,200 ptrs | 0 records | 108714 ptr/s | 2651 inv-err
  540,200 ptrs | 0 records | 108670 ptr/s | 2701 inv-err
  550,200 ptrs | 0 records | 108692 ptr/s | 2751 inv-err
  560,200 ptrs | 0 records | 108650 ptr/s | 2801 inv-err
  570,200 ptrs | 0 records | 108921 ptr/s | 2851 inv-err
  580,200 ptrs | 0 records | 109142 ptr/s | 2901 inv-err
  590,200 ptrs | 0 records | 109276 ptr/s | 2951 inv-err
  600,200 ptrs | 0 records | 109246 ptr/s | 3001 inv-err
DONE: 607,486 pointers -> 0 records | 0 fetched, 0 empty | 3038 invoke-err | 6s | 109437 ptr/s
Next: OPENSEARCH_ENDPOINT=… node load-extracted.js cc-extracted/bf-cc-warc-bio-repo/
