loading s3://aws-athena-query-results-475987770186-us-east-1/cc-extracted/bf-cc-warc-full/ -> OpenSearch (conc 8)
17,798 file(s) to load
  1,000/17,798 files, 93,536 docs
  2,000/17,798 files, 177,872 docs
  3,000/17,798 files, 281,870 docs
  4,000/17,798 files, 393,526 docs
  5,000/17,798 files, 485,913 docs
  6,000/17,798 files, 579,349 docs
  7,000/17,798 files, 682,900 docs
  8,000/17,798 files, 790,967 docs
  9,000/17,798 files, 892,945 docs
  10,000/17,798 files, 994,711 docs
  11,000/17,798 files, 1,098,532 docs
  12,000/17,798 files, 1,206,109 docs
  13,000/17,798 files, 1,306,213 docs
  14,000/17,798 files, 1,400,066 docs
  15,000/17,798 files, 1,512,049 docs
  16,000/17,798 files, 1,605,390 docs
  17,000/17,798 files, 1,701,510 docs
DONE: 17,798 file(s), 1,779,098 docs -> OpenSearch, 654 error(s), 2089s
