Lambda concurrency limit 10 -> driving at 8 concurrent (raise the quota to go faster)
  200 ptrs | 0 records | 8333 ptr/s | 1 inv-err
  10,200 ptrs | 0 records | 71831 ptr/s | 51 inv-err
  20,200 ptrs | 0 records | 82787 ptr/s | 101 inv-err
  30,200 ptrs | 0 records | 85795 ptr/s | 151 inv-err
  40,200 ptrs | 0 records | 89732 ptr/s | 201 inv-err
  50,200 ptrs | 0 records | 87304 ptr/s | 251 inv-err
  60,200 ptrs | 0 records | 88922 ptr/s | 301 inv-err
  70,200 ptrs | 0 records | 90933 ptr/s | 351 inv-err
  80,200 ptrs | 0 records | 92184 ptr/s | 401 inv-err
  90,200 ptrs | 0 records | 93086 ptr/s | 451 inv-err
  100,200 ptrs | 0 records | 94085 ptr/s | 501 inv-err
  110,200 ptrs | 0 records | 94430 ptr/s | 551 inv-err
  120,200 ptrs | 0 records | 96237 ptr/s | 601 inv-err
  130,200 ptrs | 0 records | 96659 ptr/s | 651 inv-err
  140,200 ptrs | 0 records | 97632 ptr/s | 701 inv-err
  150,200 ptrs | 0 records | 98881 ptr/s | 751 inv-err
  160,200 ptrs | 0 records | 99257 ptr/s | 801 inv-err
  170,200 ptrs | 0 records | 100000 ptr/s | 851 inv-err
  180,200 ptrs | 0 records | 100896 ptr/s | 901 inv-err
  190,200 ptrs | 0 records | 101440 ptr/s | 951 inv-err
  200,200 ptrs | 0 records | 102247 ptr/s | 1001 inv-err
  210,200 ptrs | 0 records | 102687 ptr/s | 1051 inv-err
  220,200 ptrs | 0 records | 103283 ptr/s | 1101 inv-err
  230,200 ptrs | 0 records | 103461 ptr/s | 1151 inv-err
  240,200 ptrs | 0 records | 103938 ptr/s | 1201 inv-err
  250,200 ptrs | 0 records | 104120 ptr/s | 1251 inv-err
  260,200 ptrs | 0 records | 103955 ptr/s | 1301 inv-err
  270,200 ptrs | 0 records | 104244 ptr/s | 1351 inv-err
  280,200 ptrs | 0 records | 104669 ptr/s | 1401 inv-err
  290,200 ptrs | 0 records | 104917 ptr/s | 1451 inv-err
  300,200 ptrs | 0 records | 105333 ptr/s | 1501 inv-err
  310,200 ptrs | 0 records | 105690 ptr/s | 1551 inv-err
  320,200 ptrs | 0 records | 105886 ptr/s | 1601 inv-err
  330,200 ptrs | 0 records | 106105 ptr/s | 1651 inv-err
  340,200 ptrs | 0 records | 106246 ptr/s | 1701 inv-err
  350,200 ptrs | 0 records | 106315 ptr/s | 1751 inv-err
  360,200 ptrs | 0 records | 106442 ptr/s | 1801 inv-err
  370,200 ptrs | 0 records | 106624 ptr/s | 1851 inv-err
  380,200 ptrs | 0 records | 106828 ptr/s | 1901 inv-err
  390,200 ptrs | 0 records | 107168 ptr/s | 1951 inv-err
  400,200 ptrs | 0 records | 107292 ptr/s | 2001 inv-err
  410,200 ptrs | 0 records | 107495 ptr/s | 2051 inv-err
  420,200 ptrs | 0 records | 107661 ptr/s | 2101 inv-err
  430,200 ptrs | 0 records | 107955 ptr/s | 2151 inv-err
  440,200 ptrs | 0 records | 108184 ptr/s | 2201 inv-err
  450,200 ptrs | 0 records | 108482 ptr/s | 2251 inv-err
  460,200 ptrs | 0 records | 108563 ptr/s | 2301 inv-err
  470,200 ptrs | 0 records | 108717 ptr/s | 2351 inv-err
  480,200 ptrs | 0 records | 108815 ptr/s | 2401 inv-err
  490,200 ptrs | 0 records | 108982 ptr/s | 2451 inv-err
  500,200 ptrs | 0 records | 109071 ptr/s | 2501 inv-err
  510,200 ptrs | 0 records | 108994 ptr/s | 2551 inv-err
  520,200 ptrs | 0 records | 109125 ptr/s | 2601 inv-err
  530,200 ptrs | 0 records | 109297 ptr/s | 2651 inv-err
  540,200 ptrs | 0 records | 109463 ptr/s | 2701 inv-err
  550,200 ptrs | 0 records | 109340 ptr/s | 2751 inv-err
  560,200 ptrs | 0 records | 109371 ptr/s | 2801 inv-err
  570,200 ptrs | 0 records | 109612 ptr/s | 2851 inv-err
  580,200 ptrs | 0 records | 109762 ptr/s | 2901 inv-err
  590,200 ptrs | 0 records | 109784 ptr/s | 2951 inv-err
  600,200 ptrs | 0 records | 109846 ptr/s | 3001 inv-err
  610,200 ptrs | 0 records | 109847 ptr/s | 3051 inv-err
  620,200 ptrs | 0 records | 109945 ptr/s | 3101 inv-err
  630,200 ptrs | 0 records | 110040 ptr/s | 3151 inv-err
  640,200 ptrs | 0 records | 110227 ptr/s | 3201 inv-err
  650,200 ptrs | 0 records | 110241 ptr/s | 3251 inv-err
  660,200 ptrs | 0 records | 110401 ptr/s | 3301 inv-err
  670,200 ptrs | 0 records | 110539 ptr/s | 3351 inv-err
  680,200 ptrs | 0 records | 110692 ptr/s | 3401 inv-err
  690,200 ptrs | 0 records | 110787 ptr/s | 3451 inv-err
  700,200 ptrs | 0 records | 110914 ptr/s | 3501 inv-err
  710,200 ptrs | 0 records | 111056 ptr/s | 3551 inv-err
  720,200 ptrs | 0 records | 111125 ptr/s | 3601 inv-err
  730,200 ptrs | 0 records | 111175 ptr/s | 3651 inv-err
  740,200 ptrs | 0 records | 111308 ptr/s | 3701 inv-err
  750,200 ptrs | 0 records | 111289 ptr/s | 3751 inv-err
  760,200 ptrs | 0 records | 111222 ptr/s | 3801 inv-err
  770,200 ptrs | 0 records | 111397 ptr/s | 3851 inv-err
DONE: 771,052 pointers -> 0 records | 0 fetched, 0 empty | 3856 invoke-err | 7s | 111488 ptr/s
Next: OPENSEARCH_ENDPOINT=… node load-extracted.js cc-extracted/bf-cc-warc-mmiss-all/
