Lambda concurrency limit 1000 -> driving at 250 concurrent (raise the quota to go faster)
  2,000 ptrs | 1,188 records | 254 ptr/s | 0 inv-err
  11,000 ptrs | 6,003 records | 1104 ptr/s | 0 inv-err
  11,400 ptrs | 6,207 records | 1136 ptr/s | 0 inv-err
  34,000 ptrs | 17,975 records | 2815 ptr/s | 0 inv-err
  35,400 ptrs | 18,786 records | 2910 ptr/s | 0 inv-err
  44,200 ptrs | 23,669 records | 3438 ptr/s | 0 inv-err
  52,200 ptrs | 27,909 records | 3767 ptr/s | 0 inv-err
  77,200 ptrs | 41,098 records | 4544 ptr/s | 0 inv-err
  80,600 ptrs | 42,947 records | 4585 ptr/s | 0 inv-err
  100,000 ptrs | 53,181 records | 4908 ptr/s | 0 inv-err
  100,800 ptrs | 53,532 records | 4945 ptr/s | 0 inv-err
  118,200 ptrs | 62,661 records | 5058 ptr/s | 0 inv-err
  120,200 ptrs | 63,740 records | 5079 ptr/s | 0 inv-err
  128,800 ptrs | 68,487 records | 5035 ptr/s | 0 inv-err
  130,400 ptrs | 69,331 records | 5002 ptr/s | 0 inv-err
  143,200 ptrs | 75,860 records | 4962 ptr/s | 0 inv-err
  143,800 ptrs | 76,168 records | 4922 ptr/s | 0 inv-err
  159,800 ptrs | 84,411 records | 4817 ptr/s | 0 inv-err
  176,800 ptrs | 93,211 records | 4794 ptr/s | 0 inv-err
  180,800 ptrs | 95,390 records | 4865 ptr/s | 0 inv-err
  190,200 ptrs | 100,282 records | 5010 ptr/s | 0 inv-err
  195,000 ptrs | 102,847 records | 5082 ptr/s | 0 inv-err
  209,400 ptrs | 110,286 records | 5292 ptr/s | 0 inv-err
  254,600 ptrs | 133,518 records | 5410 ptr/s | 0 inv-err
  264,800 ptrs | 138,733 records | 5475 ptr/s | 0 inv-err
  266,400 ptrs | 139,419 records | 5461 ptr/s | 0 inv-err
  279,400 ptrs | 146,193 records | 5406 ptr/s | 0 inv-err
  296,600 ptrs | 155,416 records | 5506 ptr/s | 0 inv-err
  298,400 ptrs | 156,357 records | 5509 ptr/s | 0 inv-err
  300,200 ptrs | 157,283 records | 5521 ptr/s | 0 inv-err
  301,600 ptrs | 158,026 records | 5528 ptr/s | 0 inv-err
  303,800 ptrs | 159,073 records | 5527 ptr/s | 0 inv-err
  320,000 ptrs | 167,200 records | 5637 ptr/s | 0 inv-err
  325,600 ptrs | 170,243 records | 5677 ptr/s | 0 inv-err
  331,400 ptrs | 173,142 records | 5718 ptr/s | 0 inv-err
  335,200 ptrs | 175,069 records | 5753 ptr/s | 0 inv-err
  356,800 ptrs | 186,106 records | 5910 ptr/s | 0 inv-err
  361,400 ptrs | 188,290 records | 5937 ptr/s | 0 inv-err
  371,600 ptrs | 193,378 records | 6007 ptr/s | 0 inv-err
  407,200 ptrs | 211,874 records | 6238 ptr/s | 0 inv-err
  407,600 ptrs | 212,050 records | 6236 ptr/s | 0 inv-err
  407,800 ptrs | 212,116 records | 6239 ptr/s | 0 inv-err
  428,800 ptrs | 222,532 records | 6375 ptr/s | 0 inv-err
