=== BEFORE Sat Aug  1 01:49:30 EDT 2026 ===
total 12,072,644 | real-phone 1,578,305
=== [1/2] lambda-drive cc-warc-mon-all.jsonl Sat Aug  1 01:49:30 EDT 2026 ===
Lambda concurrency limit 1000 -> driving at 250 concurrent (raise the quota to go faster)
  800 ptrs | 699 records | 151 ptr/s | 0 inv-err
  12,800 ptrs | 10,547 records | 1918 ptr/s | 0 inv-err
  27,400 ptrs | 22,699 records | 3835 ptr/s | 0 inv-err
  35,400 ptrs | 29,320 records | 4786 ptr/s | 0 inv-err
  43,000 ptrs | 35,630 records | 5499 ptr/s | 0 inv-err
  49,200 ptrs | 40,754 records | 5374 ptr/s | 0 inv-err
  51,400 ptrs | 42,447 records | 5024 ptr/s | 0 inv-err
  52,600 ptrs | 43,441 records | 5048 ptr/s | 0 inv-err
  69,600 ptrs | 57,140 records | 6040 ptr/s | 0 inv-err
  87,000 ptrs | 71,468 records | 6955 ptr/s | 0 inv-err
  95,400 ptrs | 78,469 records | 6890 ptr/s | 0 inv-err
  105,600 ptrs | 86,981 records | 6851 ptr/s | 0 inv-err
  106,600 ptrs | 87,799 records | 6898 ptr/s | 0 inv-err
  107,600 ptrs | 88,625 records | 6948 ptr/s | 0 inv-err
  140,000 ptrs | 115,700 records | 7463 ptr/s | 0 inv-err
  147,000 ptrs | 121,657 records | 7446 ptr/s | 0 inv-err
  178,200 ptrs | 147,729 records | 7955 ptr/s | 0 inv-err
  182,400 ptrs | 151,248 records | 7980 ptr/s | 0 inv-err
  183,600 ptrs | 152,248 records | 7976 ptr/s | 0 inv-err
  194,000 ptrs | 160,945 records | 7924 ptr/s | 0 inv-err
  199,200 ptrs | 165,259 records | 8047 ptr/s | 0 inv-err
  214,400 ptrs | 178,024 records | 8236 ptr/s | 0 inv-err
  220,200 ptrs | 182,868 records | 8211 ptr/s | 0 inv-err
  222,800 ptrs | 185,026 records | 8245 ptr/s | 0 inv-err
  234,400 ptrs | 194,582 records | 8230 ptr/s | 0 inv-err
  242,200 ptrs | 200,994 records | 8250 ptr/s | 0 inv-err
  253,200 ptrs | 209,929 records | 8269 ptr/s | 0 inv-err
  268,200 ptrs | 222,305 records | 8369 ptr/s | 0 inv-err
  285,000 ptrs | 236,163 records | 8322 ptr/s | 0 inv-err
  294,200 ptrs | 243,708 records | 8374 ptr/s | 0 inv-err
  308,400 ptrs | 255,535 records | 8513 ptr/s | 0 inv-err
  313,600 ptrs | 259,805 records | 8531 ptr/s | 0 inv-err
  322,600 ptrs | 267,140 records | 8474 ptr/s | 0 inv-err
  338,400 ptrs | 279,805 records | 8503 ptr/s | 0 inv-err
  341,200 ptrs | 282,112 records | 8517 ptr/s | 0 inv-err
  356,000 ptrs | 294,270 records | 8579 ptr/s | 0 inv-err
  356,800 ptrs | 294,937 records | 8572 ptr/s | 0 inv-err
  369,800 ptrs | 305,784 records | 8545 ptr/s | 0 inv-err
  377,600 ptrs | 312,299 records | 8599 ptr/s | 0 inv-err
  380,200 ptrs | 314,470 records | 8619 ptr/s | 0 inv-err
  390,000 ptrs | 322,656 records | 8704 ptr/s | 0 inv-err
  409,600 ptrs | 338,784 records | 8621 ptr/s | 0 inv-err
  412,400 ptrs | 340,949 records | 8606 ptr/s | 0 inv-err
  425,200 ptrs | 351,413 records | 8695 ptr/s | 0 inv-err
  428,000 ptrs | 353,708 records | 8714 ptr/s | 0 inv-err
  438,600 ptrs | 362,355 records | 8737 ptr/s | 0 inv-err
  456,400 ptrs | 376,610 records | 8732 ptr/s | 0 inv-err
