=== WAVE 2b BEFORE Sat Aug  1 08:42:37 EDT 2026 ===
  total 12,372,847 | real-phone 2,124,069
=== drive cc-warc-bio-repo Sat Aug  1 08:42:37 EDT 2026 ===
Lambda concurrency limit 1000 -> driving at 120 concurrent (raise the quota to go faster)
  2,000 ptrs | 1,520 records | 399 ptr/s | 0 inv-err
  3,800 ptrs | 2,988 records | 739 ptr/s | 0 inv-err
  17,200 ptrs | 14,404 records | 2394 ptr/s | 0 inv-err
  38,400 ptrs | 33,318 records | 3257 ptr/s | 0 inv-err
  38,800 ptrs | 33,677 records | 3272 ptr/s | 0 inv-err
  43,400 ptrs | 37,720 records | 3452 ptr/s | 0 inv-err
  56,600 ptrs | 49,289 records | 3678 ptr/s | 0 inv-err
  69,400 ptrs | 60,328 records | 3980 ptr/s | 0 inv-err
  83,400 ptrs | 72,301 records | 4137 ptr/s | 0 inv-err
  93,800 ptrs | 81,276 records | 4228 ptr/s | 0 inv-err
  100,400 ptrs | 87,075 records | 4244 ptr/s | 0 inv-err
  106,200 ptrs | 92,273 records | 4339 ptr/s | 0 inv-err
  122,400 ptrs | 106,452 records | 4385 ptr/s | 0 inv-err
  133,200 ptrs | 115,975 records | 4436 ptr/s | 0 inv-err
  136,400 ptrs | 118,702 records | 4472 ptr/s | 0 inv-err
  147,800 ptrs | 128,505 records | 4576 ptr/s | 0 inv-err
  157,000 ptrs | 136,475 records | 4568 ptr/s | 0 inv-err
  162,800 ptrs | 141,590 records | 4603 ptr/s | 0 inv-err
  186,000 ptrs | 162,138 records | 4699 ptr/s | 0 inv-err
  188,600 ptrs | 164,356 records | 4717 ptr/s | 0 inv-err
  198,000 ptrs | 172,419 records | 4739 ptr/s | 0 inv-err
  208,600 ptrs | 181,586 records | 4809 ptr/s | 0 inv-err
  216,800 ptrs | 188,585 records | 4809 ptr/s | 0 inv-err
  233,000 ptrs | 202,675 records | 4843 ptr/s | 0 inv-err
  233,600 ptrs | 203,208 records | 4841 ptr/s | 0 inv-err
  260,200 ptrs | 226,148 records | 4945 ptr/s | 0 inv-err
  267,800 ptrs | 232,724 records | 4936 ptr/s | 0 inv-err
  279,200 ptrs | 242,721 records | 4973 ptr/s | 0 inv-err
