  scanned 50,000 | to-update 42,025
  scanned 100,000 | to-update 83,233
  scanned 150,000 | to-update 123,250
  scanned 200,000 | to-update 162,687
  scanned 250,000 | to-update 203,670
  scanned 300,000 | to-update 245,671
  scanned 350,000 | to-update 287,880
  scanned 400,000 | to-update 327,701
  scanned 450,000 | to-update 370,951
  scanned 500,000 | to-update 410,056
  scanned 550,000 | to-update 448,578
  scanned 600,000 | to-update 489,764
  scanned 650,000 | to-update 534,115
  scanned 700,000 | to-update 573,261
  scanned 750,000 | to-update 613,614
  scanned 800,000 | to-update 654,656
  scanned 850,000 | to-update 696,416
  scanned 900,000 | to-update 739,228
  scanned 950,000 | to-update 780,932
  scanned 1,000,000 | to-update 820,437
DONE: scanned 1,037,143 | updated 849,483 phone-type(s)
