  scanned 50,000 | to-update 39,334
  scanned 100,000 | to-update 78,764
  scanned 150,000 | to-update 117,922
  scanned 200,000 | to-update 157,022
  scanned 250,000 | to-update 198,358
  scanned 300,000 | to-update 238,254
  scanned 350,000 | to-update 279,229
  scanned 400,000 | to-update 318,695
  scanned 450,000 | to-update 357,887
  scanned 500,000 | to-update 396,474
  scanned 550,000 | to-update 436,301
  scanned 600,000 | to-update 477,118
  scanned 650,000 | to-update 515,988
DONE: scanned 686,298 | updated 546,786 phone-type(s)
