Lambda concurrency limit 1000 -> driving at 250 concurrent (raise the quota to go faster)
  200 ptrs | 159 records | 23 ptr/s | 0 inv-err
  400 ptrs | 329 records | 30 ptr/s | 0 inv-err
  7,600 ptrs | 5,810 records | 450 ptr/s | 0 inv-err
  27,000 ptrs | 21,218 records | 1470 ptr/s | 0 inv-err
  40,200 ptrs | 31,351 records | 2046 ptr/s | 0 inv-err
  48,400 ptrs | 37,743 records | 2314 ptr/s | 0 inv-err
  53,600 ptrs | 41,714 records | 2495 ptr/s | 0 inv-err
  74,800 ptrs | 58,222 records | 3269 ptr/s | 0 inv-err
  83,600 ptrs | 64,982 records | 3441 ptr/s | 0 inv-err
  95,200 ptrs | 74,106 records | 3724 ptr/s | 0 inv-err
  96,000 ptrs | 74,765 records | 3737 ptr/s | 0 inv-err
  96,200 ptrs | 74,912 records | 3737 ptr/s | 0 inv-err
  137,800 ptrs | 107,352 records | 4588 ptr/s | 0 inv-err
  143,600 ptrs | 111,889 records | 4720 ptr/s | 0 inv-err
  145,200 ptrs | 113,087 records | 4759 ptr/s | 0 inv-err
  160,800 ptrs | 125,172 records | 5027 ptr/s | 0 inv-err
  170,600 ptrs | 132,755 records | 5190 ptr/s | 0 inv-err
  171,200 ptrs | 133,210 records | 5188 ptr/s | 0 inv-err
  174,600 ptrs | 135,898 records | 5231 ptr/s | 0 inv-err
  180,200 ptrs | 140,229 records | 5305 ptr/s | 0 inv-err
  192,600 ptrs | 149,870 records | 5460 ptr/s | 0 inv-err
  200,800 ptrs | 156,240 records | 5589 ptr/s | 0 inv-err
  208,800 ptrs | 162,483 records | 5699 ptr/s | 0 inv-err
  232,800 ptrs | 180,970 records | 5984 ptr/s | 0 inv-err
  235,000 ptrs | 182,685 records | 5989 ptr/s | 0 inv-err
  254,600 ptrs | 197,949 records | 6188 ptr/s | 0 inv-err
  263,800 ptrs | 205,211 records | 6177 ptr/s | 0 inv-err
  264,400 ptrs | 205,701 records | 6168 ptr/s | 0 inv-err
  271,400 ptrs | 211,050 records | 6242 ptr/s | 0 inv-err
  295,800 ptrs | 229,843 records | 6482 ptr/s | 0 inv-err
  296,600 ptrs | 230,416 records | 6480 ptr/s | 0 inv-err
  311,600 ptrs | 241,948 records | 6539 ptr/s | 0 inv-err
  312,200 ptrs | 242,419 records | 6547 ptr/s | 0 inv-err
  328,600 ptrs | 255,066 records | 6664 ptr/s | 0 inv-err
  338,200 ptrs | 261,769 records | 6754 ptr/s | 0 inv-err
  352,800 ptrs | 271,573 records | 6870 ptr/s | 0 inv-err
  359,400 ptrs | 275,886 records | 6924 ptr/s | 0 inv-err
  374,600 ptrs | 285,734 records | 6890 ptr/s | 0 inv-err
  385,400 ptrs | 292,614 records | 6943 ptr/s | 0 inv-err
  396,400 ptrs | 299,495 records | 7037 ptr/s | 0 inv-err
  401,600 ptrs | 302,880 records | 7077 ptr/s | 0 inv-err
  407,400 ptrs | 306,598 records | 7105 ptr/s | 0 inv-err
  408,000 ptrs | 307,008 records | 7109 ptr/s | 0 inv-err
  431,400 ptrs | 322,117 records | 7160 ptr/s | 0 inv-err
  448,200 ptrs | 332,890 records | 7257 ptr/s | 0 inv-err
  450,200 ptrs | 334,220 records | 7263 ptr/s | 0 inv-err
  452,400 ptrs | 335,644 records | 7278 ptr/s | 0 inv-err
  470,000 ptrs | 346,999 records | 7339 ptr/s | 0 inv-err
  472,600 ptrs | 348,718 records | 7354 ptr/s | 0 inv-err
  488,000 ptrs | 358,591 records | 7415 ptr/s | 0 inv-err
  491,400 ptrs | 360,836 records | 7440 ptr/s | 0 inv-err
  511,800 ptrs | 373,890 records | 7499 ptr/s | 0 inv-err
  516,400 ptrs | 376,794 records | 7516 ptr/s | 0 inv-err
  525,200 ptrs | 382,340 records | 7512 ptr/s | 0 inv-err
  537,600 ptrs | 390,034 records | 7537 ptr/s | 0 inv-err
  568,800 ptrs | 409,912 records | 7551 ptr/s | 0 inv-err
  569,400 ptrs | 410,314 records | 7548 ptr/s | 0 inv-err
  577,400 ptrs | 415,644 records | 7587 ptr/s | 0 inv-err
  588,400 ptrs | 423,379 records | 7552 ptr/s | 0 inv-err
  589,400 ptrs | 424,053 records | 7544 ptr/s | 0 inv-err
  591,200 ptrs | 425,202 records | 7531 ptr/s | 0 inv-err
  605,400 ptrs | 434,946 records | 7562 ptr/s | 0 inv-err
  612,600 ptrs | 439,848 records | 7577 ptr/s | 0 inv-err
  628,400 ptrs | 451,043 records | 7535 ptr/s | 0 inv-err
  637,400 ptrs | 457,284 records | 7549 ptr/s | 0 inv-err
  637,800 ptrs | 457,591 records | 7545 ptr/s | 0 inv-err
  665,400 ptrs | 476,893 records | 7538 ptr/s | 0 inv-err
  667,600 ptrs | 478,398 records | 7542 ptr/s | 0 inv-err
  688,400 ptrs | 492,830 records | 7519 ptr/s | 0 inv-err
  691,000 ptrs | 494,511 records | 7533 ptr/s | 0 inv-err
  691,800 ptrs | 495,017 records | 7529 ptr/s | 0 inv-err
  722,000 ptrs | 515,861 records | 7581 ptr/s | 0 inv-err
  722,200 ptrs | 516,019 records | 7581 ptr/s | 0 inv-err
  737,652 ptrs | 526,757 records | 7599 ptr/s | 0 inv-err
  739,252 ptrs | 527,884 records | 7597 ptr/s | 0 inv-err
  752,252 ptrs | 536,830 records | 7619 ptr/s | 0 inv-err
  755,852 ptrs | 539,403 records | 7614 ptr/s | 0 inv-err
  764,652 ptrs | 545,541 records | 7545 ptr/s | 0 inv-err
DONE: 771,052 pointers -> 549,875 records | 770,251 fetched, 0 empty | 0 invoke-err | 116s | 6644 ptr/s
Next: OPENSEARCH_ENDPOINT=… node load-extracted.js cc-extracted/s200k-mmiss/
