Lambda concurrency limit 1000 -> driving at 250 concurrent (raise the quota to go faster)
  600 ptrs | 495 records | 121 ptr/s | 0 inv-err
  13,800 ptrs | 11,134 records | 2300 ptr/s | 0 inv-err
  34,000 ptrs | 27,582 records | 5054 ptr/s | 0 inv-err
  34,800 ptrs | 28,231 records | 5133 ptr/s | 0 inv-err
  43,000 ptrs | 34,800 records | 6046 ptr/s | 0 inv-err
  48,600 ptrs | 39,355 records | 6040 ptr/s | 0 inv-err
  50,800 ptrs | 41,071 records | 5663 ptr/s | 0 inv-err
  55,000 ptrs | 44,372 records | 5689 ptr/s | 0 inv-err
  65,400 ptrs | 52,562 records | 6407 ptr/s | 0 inv-err
  84,600 ptrs | 67,940 records | 7478 ptr/s | 0 inv-err
  95,800 ptrs | 77,048 records | 7518 ptr/s | 0 inv-err
  105,400 ptrs | 84,879 records | 7502 ptr/s | 0 inv-err
  108,000 ptrs | 86,946 records | 7594 ptr/s | 0 inv-err
  108,600 ptrs | 87,454 records | 7607 ptr/s | 0 inv-err
  140,000 ptrs | 112,954 records | 8144 ptr/s | 0 inv-err
  147,400 ptrs | 119,049 records | 8211 ptr/s | 0 inv-err
  184,000 ptrs | 148,739 records | 8675 ptr/s | 0 inv-err
  184,200 ptrs | 148,899 records | 8669 ptr/s | 0 inv-err
  187,200 ptrs | 151,332 records | 8696 ptr/s | 0 inv-err
  198,200 ptrs | 160,390 records | 8804 ptr/s | 0 inv-err
  200,000 ptrs | 161,844 records | 8806 ptr/s | 0 inv-err
  214,600 ptrs | 173,715 records | 8923 ptr/s | 0 inv-err
  219,400 ptrs | 177,618 records | 8962 ptr/s | 0 inv-err
  222,800 ptrs | 180,325 records | 8975 ptr/s | 0 inv-err
  239,600 ptrs | 193,859 records | 9127 ptr/s | 0 inv-err
  244,200 ptrs | 197,542 records | 9206 ptr/s | 0 inv-err
  259,600 ptrs | 209,922 records | 9197 ptr/s | 0 inv-err
  265,000 ptrs | 214,330 records | 9255 ptr/s | 0 inv-err
  275,200 ptrs | 222,449 records | 9339 ptr/s | 0 inv-err
  292,000 ptrs | 236,009 records | 9453 ptr/s | 0 inv-err
  301,600 ptrs | 243,826 records | 9492 ptr/s | 0 inv-err
  310,400 ptrs | 250,999 records | 9521 ptr/s | 0 inv-err
  326,600 ptrs | 263,754 records | 9562 ptr/s | 0 inv-err
  338,600 ptrs | 273,201 records | 9573 ptr/s | 0 inv-err
  341,800 ptrs | 275,720 records | 9602 ptr/s | 0 inv-err
  352,600 ptrs | 284,452 records | 9631 ptr/s | 0 inv-err
  361,600 ptrs | 291,749 records | 9695 ptr/s | 0 inv-err
  370,800 ptrs | 299,203 records | 9688 ptr/s | 0 inv-err
  375,800 ptrs | 303,292 records | 9727 ptr/s | 0 inv-err
  383,400 ptrs | 309,387 records | 9770 ptr/s | 0 inv-err
  389,800 ptrs | 314,621 records | 9776 ptr/s | 0 inv-err
  406,800 ptrs | 328,249 records | 9832 ptr/s | 0 inv-err
  410,400 ptrs | 331,092 records | 9831 ptr/s | 0 inv-err
  421,600 ptrs | 340,090 records | 9866 ptr/s | 0 inv-err
  429,200 ptrs | 346,051 records | 9914 ptr/s | 0 inv-err
  443,400 ptrs | 357,259 records | 9894 ptr/s | 0 inv-err
  453,400 ptrs | 365,196 records | 9891 ptr/s | 0 inv-err
  460,600 ptrs | 370,890 records | 9735 ptr/s | 0 inv-err
  483,200 ptrs | 388,900 records | 9887 ptr/s | 0 inv-err
  492,400 ptrs | 396,301 records | 9873 ptr/s | 0 inv-err
  494,200 ptrs | 397,761 records | 9870 ptr/s | 0 inv-err
  510,800 ptrs | 410,868 records | 9763 ptr/s | 0 inv-err
  512,400 ptrs | 412,143 records | 9769 ptr/s | 0 inv-err
  518,200 ptrs | 416,700 records | 9803 ptr/s | 0 inv-err
  536,800 ptrs | 431,421 records | 9831 ptr/s | 0 inv-err
  542,000 ptrs | 435,562 records | 9848 ptr/s | 0 inv-err
  561,400 ptrs | 450,848 records | 9832 ptr/s | 0 inv-err
  565,000 ptrs | 453,744 records | 9839 ptr/s | 0 inv-err
  581,200 ptrs | 466,852 records | 9887 ptr/s | 0 inv-err
  584,400 ptrs | 469,424 records | 9898 ptr/s | 0 inv-err
  597,200 ptrs | 479,731 records | 9871 ptr/s | 0 inv-err
  602,000 ptrs | 483,592 records | 9880 ptr/s | 0 inv-err
  615,600 ptrs | 494,535 records | 9932 ptr/s | 0 inv-err
  624,000 ptrs | 501,346 records | 9946 ptr/s | 0 inv-err
  641,800 ptrs | 515,868 records | 9909 ptr/s | 0 inv-err
  655,800 ptrs | 527,074 records | 9968 ptr/s | 0 inv-err
  671,000 ptrs | 539,305 records | 10008 ptr/s | 0 inv-err
  676,600 ptrs | 543,827 records | 9999 ptr/s | 0 inv-err
  679,000 ptrs | 545,781 records | 9978 ptr/s | 0 inv-err
  698,600 ptrs | 561,717 records | 10008 ptr/s | 0 inv-err
  709,000 ptrs | 569,981 records | 10033 ptr/s | 0 inv-err
  719,000 ptrs | 578,114 records | 10059 ptr/s | 0 inv-err
  725,000 ptrs | 582,867 records | 10033 ptr/s | 0 inv-err
  728,200 ptrs | 585,489 records | 10026 ptr/s | 0 inv-err
  733,800 ptrs | 590,009 records | 10026 ptr/s | 0 inv-err
  743,400 ptrs | 597,561 records | 10048 ptr/s | 0 inv-err
  754,200 ptrs | 606,226 records | 10079 ptr/s | 0 inv-err
  771,400 ptrs | 620,081 records | 10051 ptr/s | 0 inv-err
  774,000 ptrs | 622,242 records | 10007 ptr/s | 0 inv-err
  793,800 ptrs | 638,239 records | 10056 ptr/s | 0 inv-err
  797,000 ptrs | 640,804 records | 10066 ptr/s | 0 inv-err
  813,600 ptrs | 654,038 records | 10034 ptr/s | 0 inv-err
  817,000 ptrs | 656,725 records | 10018 ptr/s | 0 inv-err
  842,000 ptrs | 676,875 records | 10039 ptr/s | 0 inv-err
  844,200 ptrs | 678,549 records | 10053 ptr/s | 0 inv-err
  851,400 ptrs | 684,221 records | 10038 ptr/s | 0 inv-err
  851,600 ptrs | 684,389 records | 10033 ptr/s | 0 inv-err
  866,600 ptrs | 696,434 records | 10036 ptr/s | 0 inv-err
  878,200 ptrs | 705,772 records | 10061 ptr/s | 0 inv-err
  892,400 ptrs | 716,978 records | 10049 ptr/s | 0 inv-err
  893,200 ptrs | 717,611 records | 10046 ptr/s | 0 inv-err
  896,000 ptrs | 719,811 records | 10021 ptr/s | 0 inv-err
  931,200 ptrs | 748,061 records | 10052 ptr/s | 0 inv-err
  933,000 ptrs | 749,485 records | 10046 ptr/s | 0 inv-err
  937,800 ptrs | 753,348 records | 10044 ptr/s | 0 inv-err
  948,400 ptrs | 761,834 records | 9979 ptr/s | 0 inv-err
  950,400 ptrs | 763,381 records | 9988 ptr/s | 0 inv-err
  973,600 ptrs | 782,076 records | 10066 ptr/s | 0 inv-err
  979,600 ptrs | 786,917 records | 10056 ptr/s | 0 inv-err
  993,800 ptrs | 798,262 records | 9989 ptr/s | 0 inv-err
  1,019,800 ptrs | 819,321 records | 10018 ptr/s | 0 inv-err
  1,029,400 ptrs | 827,003 records | 10046 ptr/s | 0 inv-err
  1,031,400 ptrs | 828,623 records | 10039 ptr/s | 0 inv-err
  1,039,800 ptrs | 835,362 records | 9998 ptr/s | 0 inv-err
  1,046,600 ptrs | 840,818 records | 9946 ptr/s | 0 inv-err
  1,050,000 ptrs | 843,573 records | 9943 ptr/s | 0 inv-err
  1,053,400 ptrs | 846,306 records | 9949 ptr/s | 0 inv-err
  1,061,000 ptrs | 852,448 records | 9984 ptr/s | 0 inv-err
  1,066,800 ptrs | 857,129 records | 10007 ptr/s | 0 inv-err
  1,092,600 ptrs | 877,909 records | 9952 ptr/s | 0 inv-err
  1,098,600 ptrs | 882,815 records | 9958 ptr/s | 0 inv-err
  1,102,200 ptrs | 885,715 records | 9964 ptr/s | 0 inv-err
  1,124,000 ptrs | 902,963 records | 10020 ptr/s | 0 inv-err
  1,131,400 ptrs | 908,915 records | 9996 ptr/s | 0 inv-err
  1,140,000 ptrs | 915,698 records | 9987 ptr/s | 0 inv-err
  1,169,400 ptrs | 939,420 records | 10051 ptr/s | 0 inv-err
  1,171,400 ptrs | 940,976 records | 10053 ptr/s | 0 inv-err
  1,176,600 ptrs | 945,141 records | 10042 ptr/s | 0 inv-err
  1,183,600 ptrs | 950,815 records | 10031 ptr/s | 0 inv-err
  1,193,400 ptrs | 958,718 records | 10061 ptr/s | 0 inv-err
  1,207,600 ptrs | 970,083 records | 10080 ptr/s | 0 inv-err
  1,225,400 ptrs | 984,113 records | 10074 ptr/s | 0 inv-err
  1,229,200 ptrs | 987,173 records | 10065 ptr/s | 0 inv-err
  1,231,600 ptrs | 989,100 records | 10073 ptr/s | 0 inv-err
  1,236,800 ptrs | 993,202 records | 10089 ptr/s | 0 inv-err
  1,251,000 ptrs | 1,004,633 records | 10109 ptr/s | 0 inv-err
  1,261,200 ptrs | 1,012,946 records | 10120 ptr/s | 0 inv-err
  1,266,200 ptrs | 1,016,938 records | 10113 ptr/s | 0 inv-err
  1,289,400 ptrs | 1,035,543 records | 10130 ptr/s | 0 inv-err
  1,300,000 ptrs | 1,044,112 records | 10150 ptr/s | 0 inv-err
  1,306,000 ptrs | 1,049,022 records | 10144 ptr/s | 0 inv-err
  1,315,200 ptrs | 1,056,489 records | 10154 ptr/s | 0 inv-err
  1,321,000 ptrs | 1,061,159 records | 10151 ptr/s | 0 inv-err
  1,327,200 ptrs | 1,066,129 records | 10156 ptr/s | 0 inv-err
  1,330,800 ptrs | 1,069,040 records | 10159 ptr/s | 0 inv-err
  1,351,600 ptrs | 1,085,639 records | 10160 ptr/s | 0 inv-err
  1,352,600 ptrs | 1,086,426 records | 10161 ptr/s | 0 inv-err
  1,375,800 ptrs | 1,104,727 records | 10178 ptr/s | 0 inv-err
  1,382,200 ptrs | 1,109,887 records | 10186 ptr/s | 0 inv-err
  1,400,600 ptrs | 1,124,791 records | 10180 ptr/s | 0 inv-err
  1,412,200 ptrs | 1,134,096 records | 10162 ptr/s | 0 inv-err
  1,427,800 ptrs | 1,146,639 records | 10183 ptr/s | 0 inv-err
  1,431,000 ptrs | 1,149,226 records | 10194 ptr/s | 0 inv-err
  1,434,800 ptrs | 1,152,307 records | 10185 ptr/s | 0 inv-err
  1,436,400 ptrs | 1,153,598 records | 10182 ptr/s | 0 inv-err
  1,452,400 ptrs | 1,166,514 records | 10149 ptr/s | 0 inv-err
  1,453,800 ptrs | 1,167,646 records | 10148 ptr/s | 0 inv-err
  1,474,800 ptrs | 1,184,480 records | 10199 ptr/s | 0 inv-err
  1,481,000 ptrs | 1,189,438 records | 10206 ptr/s | 0 inv-err
  1,481,400 ptrs | 1,189,748 records | 10207 ptr/s | 0 inv-err
  1,499,800 ptrs | 1,204,482 records | 10143 ptr/s | 0 inv-err
  1,504,200 ptrs | 1,207,929 records | 10156 ptr/s | 0 inv-err
  1,508,800 ptrs | 1,211,544 records | 10161 ptr/s | 0 inv-err
  1,541,000 ptrs | 1,237,378 records | 10151 ptr/s | 0 inv-err
  1,545,200 ptrs | 1,240,701 records | 10154 ptr/s | 0 inv-err
  1,568,000 ptrs | 1,258,720 records | 10203 ptr/s | 0 inv-err
  1,575,600 ptrs | 1,264,683 records | 10195 ptr/s | 0 inv-err
