loading s3://aws-athena-query-results-475987770186-us-east-1/cc-extracted/bf-cc-warc-people-company/ -> OpenSearch (conc 3) [--model: email modelling ON]
35,857 file(s) to load
  1,000/35,857 files, 85,464 docs
  2,000/35,857 files, 171,633 docs
  3,000/35,857 files, 256,327 docs
  4,000/35,857 files, 341,092 docs
  5,000/35,857 files, 427,008 docs
  6,000/35,857 files, 512,562 docs
  7,000/35,857 files, 597,397 docs
  8,000/35,857 files, 683,865 docs
  9,000/35,857 files, 768,593 docs
  10,000/35,857 files, 856,412 docs
  11,000/35,857 files, 942,871 docs
  12,000/35,857 files, 1,030,176 docs
  13,000/35,857 files, 1,115,512 docs
  14,000/35,857 files, 1,203,832 docs
  15,000/35,857 files, 1,292,166 docs
  16,000/35,857 files, 1,380,845 docs
  17,000/35,857 files, 1,469,064 docs
  18,000/35,857 files, 1,556,860 docs
  19,000/35,857 files, 1,644,798 docs
  20,000/35,857 files, 1,732,521 docs
  21,000/35,857 files, 1,818,888 docs
  22,000/35,857 files, 1,906,817 docs
  23,000/35,857 files, 1,994,236 docs
  24,000/35,857 files, 2,082,462 docs
  25,000/35,857 files, 2,168,106 docs
  26,000/35,857 files, 2,255,657 docs
  27,000/35,857 files, 2,343,745 docs
  28,000/35,857 files, 2,431,877 docs
  29,000/35,857 files, 2,519,865 docs
  30,000/35,857 files, 2,604,631 docs
  31,000/35,857 files, 2,688,290 docs
  32,000/35,857 files, 2,773,660 docs
  33,000/35,857 files, 2,859,149 docs
  34,000/35,857 files, 2,946,535 docs
  35,000/35,857 files, 3,031,925 docs
DONE: 35,857 file(s), 3,104,824 docs -> OpenSearch, 279 error(s), 5206s
