naics_code,industry
111998,Farming
112130,Ranching
112990,Ranching and Fisheries
113310,Forestry and Logging
114119,Fisheries
115310,"Farming, Ranching, Forestry"
211120,Oil Extraction
211130,Natural Gas Extraction
212115,Coal Mining
212210,Mining
212290,Metal Ore Mining
212390,Nonmetallic Mineral Mining
213112,Oil and Gas
213115,"Oil, Gas, and Mining"
221111,Hydroelectric Power Generation
221112,Fossil Fuel Electric Power Generation
221113,Nuclear Electric Power Generation
221114,Solar Electric Power Generation
221115,Wind Electric Power Generation
221116,Geothermal Electric Power Generation
221117,Biomass Electric Power Generation
221118,Renewable Energy Power Generation
221121,Utilities
221122,"Electric Power Transmission, Control, and Distribution"
221210,Natural Gas Distribution
221310,Water Supply and Irrigation Systems
221320,"Water, Waste, Steam, and Air Conditioning Services"
221330,Steam and Air-Conditioning Supply
236116,Construction
236118,Residential Building Construction
236210,Nonresidential Building Construction
236220,Building Construction
237130,Utility System Construction
237210,Subdivision of Land
237310,"Highway, Street, and Bridge Construction"
237990,Civil Engineering
238190,Building Structure and Exterior Contractors
238290,Building Equipment Contractors
238390,Building Finishing Contractors
238990,Specialty Trade Contractors
311119,Animal Feed Manufacturing
311352,Sugar and Confectionery Product Manufacturing
311423,Fruit and Vegetable Preserves Manufacturing
311500,Dairy Product Manufacturing
311612,Meat Products Manufacturing
311710,Seafood Product Manufacturing
311811,Baked Goods Manufacturing
311999,Food and Beverage Manufacturing
312110,Beverage Manufacturing
312120,Breweries
312130,Wineries
312140,Distilleries
312230,Tobacco Manufacturing
313312,Textile Manufacturing
315250,Apparel Manufacturing
315990,Fashion Accessories Manufacturing
316210,Footwear Manufacturing
316990,Leather Product Manufacturing
321999,Wood Product Manufacturing
322299,Paper and Forest Product Manufacturing
323120,Printing Services
324199,Oil and Coal Product Manufacturing
325199,Chemical Raw Materials Manufacturing
325220,Artificial Rubber and Synthetic Fiber Manufacturing
325320,Agricultural Chemical Manufacturing
325414,Pharmaceutical Manufacturing
325520,"Paint, Coating, and Adhesive Manufacturing"
325611,Soap and Cleaning Product Manufacturing
325998,Chemical Manufacturing
326112,Packaging and Containers Manufacturing
326160,Plastics and Rubber Product Manufacturing
326199,Plastics Manufacturing
326299,Rubber Products Manufacturing
327120,Clay and Refractory Products Manufacturing
327215,Glass Product Manufacturing
327390,"Glass, Ceramics and Concrete Manufacturing"
327420,Lime and Gypsum Products Manufacturing
327999,Abrasives and Nonmetallic Minerals Manufacturing
331529,Primary Metal Manufacturing
332119,Fabricated Metal Products
332216,Cutlery and Handtool Manufacturing
332323,Architectural and Structural Metal Manufacturing
332410,Automation Machinery Manufacturing
332439,"Boilers, Tanks, and Shipping Container Manufacturing"
332510,Accessible Hardware Manufacturing
332618,Spring and Wire Product Manufacturing
332722,Turned Products and Fastener Manufacturing
332813,Metal Treatments
332999,"Metal Valve, Ball, and Roller Manufacturing"
333132,"Agriculture, Construction, Mining Machinery Manufacturing"
333248,Industrial Machinery Manufacturing
333310,Commercial and Service Industry Machinery Manufacturing
333415,HVAC and Refrigeration Equipment Manufacturing
333519,Metalworking Machinery Manufacturing
333618,Engines and Power Transmission Equipment Manufacturing
333998,Machinery Manufacturing
334112,Computer and Network Security
334118,Computer Hardware Manufacturing
334290,Communications Equipment Manufacturing
334310,Audio and Video Equipment Manufacturing
334413,Fuel Cell Manufacturing
334419,Computers and Electronics Manufacturing
334512,Climate Technology Product Manufacturing
334515,Smart Meter Manufacturing
334519,Measuring and Control Instrument Manufacturing
334610,Magnetic and Optical Media Manufacturing
335139,Electric Lighting Equipment Manufacturing
335220,Household Appliance Manufacturing
335314,Electrical Equipment Manufacturing
335929,Renewable Energy Equipment Manufacturing
