nickname,formal
abby,abigail
abe,abraham
ace,acer
addie,adelaide
al,albert
alex,alexander
alexa,alexandra
alfie,alfred
allie,alison
andy,andrew
angie,angela
annie,ann
archie,archibald
art,arthur
babs,barbara
barb,barbara
bart,bartholomew
bea,beatrice
becca,rebecca
becky,rebecca
bell,isabella
bella,isabella
ben,benjamin
benji,benjamin
bernie,bernard
bert,albert
bess,elizabeth
beth,elizabeth
betsy,elizabeth
bette,elizabeth
betty,elizabeth
bev,beverly
bill,william
billy,william
bob,robert
bobbi,roberta
bobby,robert
brad,bradley
brandy,brandon
bree,brianna
brie,brianna
bud,charles
cal,calvin
cam,cameron
candy,candace
carl,carlton
carrie,caroline
cass,cassandra
cassie,cassandra
cath,catherine
cathy,catherine
cec,cecilia
chad,charles
charlie,charles
chas,charles
chris,christopher
chrissy,christine
christy,christine
chuck,charles
cindy,cynthia
cissy,cecilia
claire,clara
cliff,clifford
clint,clinton
col,colin
connie,constance
coop,cooper
cory,cornelius
craig,craigen
curt,curtis
cy,cyrus
dan,daniel
danny,daniel
dave,david
davy,david
deb,deborah
debbie,deborah
dee,dorothy
del,delbert
denny,dennis
dick,richard
dickie,richard
dolly,dorothy
don,donald
donnie,donald
dora,dorothy
dot,dorothy
doug,douglas
drew,andrew
duke,marmaduke
dutch,dutchman
ed,edward
eddie,edward
edie,edith
edna,edwina
effie,euphemia
eli,elijah
elle,eleanor
ellie,eleanor
elsie,elizabeth
em,emily
emmy,emily
ernie,ernest
essie,esther
eve,evelyn
fanny,frances
fay,faith
flo,florence
fran,frances
frank,franklin
frankie,frank
fred,frederick
freddie,frederick
gabby,gabrielle
gabe,gabriel
gail,abigail
gene,eugene
geoff,geoffrey
george,georgio
gerry,gerald
gil,gilbert
ginny,virginia
gord,gordon
greg,gregory
gus,august
gwen,gwendolyn
hal,harold
hank,henry
harry,harold
hattie,harriet
herb,herbert
hettie,henrietta
hy,hyman
ike,isaac
irv,irving
izzy,isabel
jack,john
jackie,jacqueline
jake,jacob
jan,janet
jane,janet
jean,jeanne
jeff,jeffrey
jen,jennifer
jenny,jennifer
jerry,gerald
jess,jessica
jessie,jessica
jill,julia
jim,james
jimmy,james
jo,joanne
joan,joanna
jodi,judith
jody,judith
joe,joseph
joey,joseph
john,jonathan
johnny,john
jon,jonathan
josh,joshua
josie,josephine
joy,joyce
judy,judith
jules,julia
julie,julia
kate,katherine
kathy,katherine
katie,katherine
kay,katherine
ken,kenneth
kenny,kenneth
kim,kimberly
kit,christopher
kris,kristen
kristy,kristen
lany,delaney
larry,lawrence
laurie,laura
len,leonard
lenny,leonard
leo,leonard
les,leslie
lettie,letitia
lew,lewis
lex,alexander
libby,elizabeth
lil,lillian
lily,lillian
lin,linda
lindy,linda
lisa,elizabeth
liz,elizabeth
liza,elizabeth
lizzie,elizabeth
lois,louise
lon,alonzo
lou,louis
louie,louis
lu,lucille
lucy,lucille
luke,lucas
lyn,lynn
mabel,mable
mac,mcdonald
maddie,madeline
madge,margaret
mae,mary
maggie,margaret
mandy,amanda
marge,margaret
margie,margaret
marty,martin
mary,maria
matt,matthew
maud,matilda
max,maxwell
meg,margaret
mel,melvin
mick,michael
mickey,michael
midge,margaret
mike,michael
millie,mildred
mimi,miriam
mindy,melinda
minnie,mary
mitch,mitchell
moe,maurice
molly,mary
mona,ramona
monty,montgomery
morrie,morris
myra,mira
nan,nancy
nat,nathaniel
nate,nathan
ned,edward
nell,helen
nellie,helen
nick,nicholas
nikki,nicole
nina,antonia
nora,eleanor
norm,norman
ollie,oliver
pam,pamela
pat,patrick
patsy,patricia
patti,patricia
patty,patricia
paul,paulus
peg,margaret
peggy,margaret
penny,penelope
pete,peter
phil,philip
polly,mary
prue,prudence
rachel,rachael
ralph,raphael
randy,randall
ray,raymond
reggie,reginald
rich,richard
richie,richard
rick,richard
ricky,richard
rob,robert
robbie,robert
rod,rodney
ron,ronald
ronnie,ronald
rosie,rose
roz,rosalind
rudy,rudolph
russ,russell
sal,salvatore
sally,sarah
sam,samuel
sammy,samuel
sandy,sandra
sarah,sara
sid,sidney
sonny,son
stan,stanley
steph,stephanie
steve,steven
stu,stuart
sue,susan
susie,susan
suzy,susan
sy,seymour
syd,sydney
tad,thaddeus
tammy,tamara
ted,theodore
teddy,theodore
teri,teresa
terri,teresa
terry,terence
tess,teresa
theo,theodore
thom,thomas
tim,timothy
timmy,timothy
tina,christina
toby,tobias
tom,thomas
tommy,thomas
toni,antonia
tony,anthony
tracy,theresa
trish,patricia
trudy,gertrude
val,valerie
vern,vernon
vic,victor
vicky,victoria
vince,vincent
ginger,virginia
walt,walter
wally,wallace
wes,wesley
will,william
willie,william
willy,william
win,winifred
woody,woodrow
zac,zachary
zach,zachary
zeke,ezekiel
